[2020-02-23 22:00:36,994] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-23 22:00:37,193] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-23 22:15:40,542] INFO The cleaning for partition mysecond-0 is aborted and paused (kafka.log.LogCleaner)
[2020-02-23 22:15:40,544] INFO The cleaning for partition mysecond-0 is aborted (kafka.log.LogCleaner)
[2020-02-23 22:15:40,617] INFO The cleaning for partition mysecond-1 is aborted and paused (kafka.log.LogCleaner)
[2020-02-23 22:15:40,617] INFO The cleaning for partition mysecond-1 is aborted (kafka.log.LogCleaner)
[2020-02-23 22:15:40,652] INFO The cleaning for partition mysecond-2 is aborted and paused (kafka.log.LogCleaner)
[2020-02-23 22:15:40,652] INFO The cleaning for partition mysecond-2 is aborted (kafka.log.LogCleaner)
[2020-02-23 22:27:19,939] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-23 22:27:20,018] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-23 22:27:22,218] INFO The cleaning for partition mysecond-0 is aborted and paused (kafka.log.LogCleaner)
[2020-02-23 22:27:22,219] INFO The cleaning for partition mysecond-0 is aborted (kafka.log.LogCleaner)
[2020-02-23 22:27:22,242] INFO The cleaning for partition mysecond-1 is aborted and paused (kafka.log.LogCleaner)
[2020-02-23 22:27:22,243] INFO The cleaning for partition mysecond-1 is aborted (kafka.log.LogCleaner)
[2020-02-23 22:27:22,258] INFO The cleaning for partition mysecond-2 is aborted and paused (kafka.log.LogCleaner)
[2020-02-23 22:27:22,258] INFO The cleaning for partition mysecond-2 is aborted (kafka.log.LogCleaner)
[2020-02-24 07:26:59,024] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-24 07:26:59,310] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-24 07:27:28,794] INFO The cleaning for partition mysecond-0 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 07:27:28,795] INFO The cleaning for partition mysecond-0 is aborted (kafka.log.LogCleaner)
[2020-02-24 07:27:29,104] INFO The cleaning for partition mysecond-1 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 07:27:29,104] INFO The cleaning for partition mysecond-1 is aborted (kafka.log.LogCleaner)
[2020-02-24 07:27:29,125] INFO The cleaning for partition mysecond-2 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 07:27:29,125] INFO The cleaning for partition mysecond-2 is aborted (kafka.log.LogCleaner)
[2020-02-24 08:05:50,580] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-24 08:05:50,699] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-24 08:05:52,817] INFO The cleaning for partition mysecond-0 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 08:05:52,818] INFO The cleaning for partition mysecond-0 is aborted (kafka.log.LogCleaner)
[2020-02-24 08:05:52,845] INFO The cleaning for partition mysecond-1 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 08:05:52,845] INFO The cleaning for partition mysecond-1 is aborted (kafka.log.LogCleaner)
[2020-02-24 08:05:52,868] INFO The cleaning for partition mysecond-2 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 08:05:52,868] INFO The cleaning for partition mysecond-2 is aborted (kafka.log.LogCleaner)
[2020-02-24 08:06:35,033] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-24 08:06:35,144] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-24 08:06:37,206] INFO The cleaning for partition mysecond-0 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 08:06:37,208] INFO The cleaning for partition mysecond-0 is aborted (kafka.log.LogCleaner)
[2020-02-24 08:06:37,231] INFO The cleaning for partition mysecond-1 is aborted and paused (kafka.log.LogCleaner)
[2020-02-24 08:06:37,231] INFO The cleaning for partition mysecond-1 is aborted (kafka.log.LogCleaner)
